service_name,category,charging_unit,estimated_units,price_per_unit,materials_cost,complexity_level,urgency,contractor_experience_years,contractor_rating,distance_km,weekend,total_price
Conserto de telhado,Telhados,unidade,2.0,73.7,329.91,alta,baixa,8,4.02,20.7,1,505.84
Instalação de ar-condicionado,Climatização,unidade,2.0,590.17,0.0,média,média,15,4.18,2.1,0,1408.62
Limpeza pós-obra,Limpeza,m2,5.0,30.65,30.45,alta,média,6,4.82,8.3,0,204.45
Conserto de telhado,Telhados,unidade,2.0,54.84,1732.02,alta,baixa,16,4.05,17.3,0,1951.89
Jardinagem básica,Jardinagem,hora,3.0,29.21,1.16,alta,baixa,12,4.16,14.8,1,106.11
Instalação de piso laminado,Pisos,hora,2.0,83.71,1843.48,média,baixa,9,4.9,12.9,0,2374.3
Montagem de móveis,Marcenaria,unidade,1.0,53.4,114.12,baixa,média,16,4.01,6.8,1,182.49
Conserto de torneira,Hidráulica,hora,4.0,75.96,84.37,média,baixa,5,4.72,4.2,0,464.99
Pintura de parede,Pintura,unidade,2.0,28.21,57.07,alta,alta,3,3.52,11.7,0,128.95
Instalação de piso laminado,Pisos,m2,2.0,50.2,460.48,alta,média,2,4.05,13.3,0,673.72
Jardinagem básica,Jardinagem,hora,3.0,49.2,0.0,alta,alta,6,5.0,5.4,1,150.11
Instalação de ar-condicionado,Climatização,unidade,4.0,174.89,1815.94,média,média,4,4.29,0.1,0,2905.39
Limpeza pós-obra,Limpeza,m2,3.0,76.63,0.0,alta,baixa,13,3.24,8.9,1,239.27
Dedetização,Dedetização,m2,3.0,75.15,0.0,baixa,alta,18,3.33,11.8,1,230.09
Limpeza pós-obra,Limpeza,unidade,2.0,9.63,40.41,alta,alta,8,5.0,6.4,0,63.51
Montagem de móveis,Marcenaria,fixo,3.0,249.76,310.31,baixa,baixa,11,4.41,8.0,0,1343.16
Instalação de tomada,Elétrica,hora,3.0,127.47,0.0,baixa,média,7,4.13,6.7,1,419.7
Jardinagem básica,Jardinagem,fixo,1.0,178.64,25.42,baixa,baixa,16,5.0,12.6,1,211.14
Instalação de piso laminado,Pisos,fixo,3.0,83.48,0.0,média,média,4,4.9,8.2,0,276.07
Instalação de piso laminado,Pisos,m2,2.0,40.5,1912.24,média,alta,4,5.0,3.0,0,2170.16
Instalação de piso laminado,Pisos,m2,3.0,61.39,2753.1,média,baixa,17,4.63,0.1,1,3518.25
Instalação de ar-condicionado,Climatização,fixo,2.0,222.57,0.0,alta,alta,5,4.53,8.3,0,515.58
Montagem de móveis,Marcenaria,m2,2.0,161.36,107.17,baixa,baixa,2,4.72,7.1,0,490.58
Conserto de torneira,Hidráulica,unidade,2.0,87.01,80.97,baixa,alta,10,4.6,12.8,1,295.2
Pintura de parede,Pintura,unidade,4.0,61.22,62.87,alta,alta,1,4.14,9.4,1,337.56
Jardinagem básica,Jardinagem,hora,1.0,79.45,23.48,alta,baixa,7,4.32,3.1,1,126.1
Instalação de ar-condicionado,Climatização,unidade,3.0,81.96,455.43,alta,alta,9,3.56,18.5,1,729.62
Instalação de tomada,Elétrica,hora,2.0,129.4,107.78,alta,baixa,0,4.4,9.6,1,397.14
Instalação de tomada,Elétrica,m2,2.0,140.66,100.63,baixa,média,13,4.74,8.3,1,448.95
Pintura de parede,Pintura,unidade,1.0,5.0,140.56,média,baixa,5,4.74,1.4,1,152.55
Montagem de móveis,Marcenaria,unidade,4.0,101.17,238.24,baixa,baixa,17,4.12,7.7,1,668.63
Pintura de parede,Pintura,fixo,3.0,5.0,58.73,baixa,baixa,5,4.9,7.0,1,90.27
Conserto de torneira,Hidráulica,fixo,3.0,86.06,123.05,baixa,baixa,9,4.34,16.3,1,391.8
Montagem de móveis,Marcenaria,fixo,3.0,187.02,54.61,alta,média,0,4.66,10.4,0,666.58
Pintura de parede,Pintura,unidade,3.0,5.0,44.69,alta,alta,3,4.03,6.8,0,61.43
Montagem de móveis,Marcenaria,hora,3.0,84.64,150.52,alta,alta,6,3.95,4.7,0,464.97
Dedetização,Dedetização,unidade,3.0,70.51,75.51,média,média,4,4.6,6.6,0,327.65
Instalação de piso laminado,Pisos,hora,4.0,31.82,3198.97,baixa,média,7,5.0,8.4,1,3809.21
Limpeza pós-obra,Limpeza,m2,2.0,22.5,8.47,média,média,12,4.03,8.0,0,54.95
Instalação de ar-condicionado,Climatização,hora,3.0,128.5,526.23,baixa,alta,1,4.67,11.9,1,1015.13
Instalação de ar-condicionado,Climatização,hora,4.0,238.54,0.0,média,média,16,5.0,1.4,0,1049.55
Instalação de piso laminado,Pisos,hora,1.0,57.9,1137.78,média,alta,2,5.0,9.5,0,1357.94
Montagem de móveis,Marcenaria,fixo,5.0,172.79,204.95,baixa,baixa,12,4.41,9.8,1,1294.55
Instalação de tomada,Elétrica,unidade,2.0,57.83,156.38,média,média,17,5.0,6.1,0,336.15
Instalação de piso laminado,Pisos,fixo,2.0,78.63,862.87,baixa,média,0,4.77,10.0,1,1058.34
Montagem de móveis,Marcenaria,hora,3.0,134.63,214.03,baixa,média,8,4.42,9.6,0,738.71
Conserto de telhado,Telhados,m2,2.0,40.07,2722.21,baixa,média,10,3.92,12.5,0,2883.37
Conserto de torneira,Hidráulica,m2,2.0,65.73,147.78,média,alta,12,4.21,4.2,0,321.72
Dedetização,Dedetização,hora,2.0,16.82,38.71,média,alta,3,4.64,35.3,0,78.46
Jardinagem básica,Jardinagem,unidade,5.0,152.12,0.0,alta,baixa,6,4.56,11.0,0,825.16
Instalação de ar-condicionado,Climatização,m2,4.0,208.36,1247.14,baixa,alta,19,2.65,9.4,1,2473.39
Pintura de parede,Pintura,m2,1.0,24.34,129.38,alta,média,0,4.07,9.5,0,175.23
Instalação de piso laminado,Pisos,m2,5.0,65.67,1339.1,alta,média,1,4.39,6.1,0,1702.81
Dedetização,Dedetização,m2,1.0,137.95,85.86,média,média,0,4.18,7.9,0,278.03
Instalação de piso laminado,Pisos,m2,3.0,72.99,2335.0,baixa,alta,1,4.7,9.5,0,2984.11
Dedetização,Dedetização,m2,4.0,30.92,0.0,baixa,média,16,3.93,4.0,0,146.73
Pintura de parede,Pintura,unidade,1.0,5.0,62.92,alta,baixa,20,4.52,11.4,0,69.36
Montagem de móveis,Marcenaria,fixo,4.0,50.75,80.1,média,alta,20,4.08,8.7,0,332.78
Limpeza pós-obra,Limpeza,unidade,4.0,131.21,6.59,baixa,alta,20,4.45,2.6,1,668.02
Jardinagem básica,Jardinagem,fixo,4.0,65.18,0.0,média,alta,20,4.48,13.2,0,320.34
Conserto de telhado,Telhados,fixo,3.0,64.47,1647.82,média,baixa,16,4.77,8.3,1,2012.57
Pintura de parede,Pintura,hora,3.0,76.45,93.26,média,alta,17,3.71,7.2,1,387.5
Jardinagem básica,Jardinagem,fixo,1.0,102.12,2.44,alta,alta,19,4.79,11.5,1,132.11
Jardinagem básica,Jardinagem,hora,4.0,63.94,45.31,baixa,alta,9,4.91,12.7,1,320.24
Instalação de tomada,Elétrica,fixo,2.0,118.48,82.93,baixa,baixa,13,4.85,9.8,0,348.88
Pintura de parede,Pintura,hora,4.0,5.0,36.43,média,média,10,4.0,11.4,0,62.12
Instalação de ar-condicionado,Climatização,hora,3.0,39.85,527.71,baixa,alta,0,4.69,8.0,1,808.83
Montagem de móveis,Marcenaria,unidade,1.0,274.48,187.78,baixa,alta,6,3.78,5.9,0,522.98
Pintura de parede,Pintura,hora,3.0,5.0,63.35,média,alta,4,4.23,4.9,0,86.87
Jardinagem básica,Jardinagem,m2,3.0,49.49,29.21,alta,baixa,8,4.45,15.2,0,219.8
Montagem de móveis,Marcenaria,unidade,1.0,65.15,238.98,média,alta,16,4.43,7.4,0,346.16
Conserto de torneira,Hidráulica,unidade,1.0,78.02,126.94,baixa,baixa,15,3.77,18.9,1,217.63
Conserto de torneira,Hidráulica,m2,3.0,103.87,125.3,baixa,baixa,10,4.01,11.1,1,462.41
Dedetização,Dedetização,unidade,3.0,5.0,0.0,média,média,13,4.97,3.7,1,17.58
Conserto de torneira,Hidráulica,hora,2.0,80.21,13.78,baixa,alta,18,4.33,17.0,0,176.6
Montagem de móveis,Marcenaria,hora,2.0,167.2,347.0,alta,alta,13,4.68,9.6,1,841.69
Instalação de ar-condicionado,Climatização,m2,3.0,246.1,245.85,baixa,média,18,3.38,8.3,1,1138.22
Instalação de ar-condicionado,Climatização,m2,1.0,146.88,945.03,média,alta,2,3.85,0.1,0,1253.65
Limpeza pós-obra,Limpeza,m2,2.0,44.41,118.95,alta,baixa,10,4.03,5.5,1,229.47
Jardinagem básica,Jardinagem,m2,1.0,141.96,32.38,alta,baixa,0,5.0,12.5,0,187.35
Pintura de parede,Pintura,fixo,2.0,39.22,32.61,baixa,baixa,19,3.88,6.3,1,117.23
Instalação de piso laminado,Pisos,fixo,3.0,67.5,562.26,alta,baixa,14,4.3,8.2,0,784.67
Conserto de telhado,Telhados,hora,4.0,41.12,2896.43,baixa,alta,17,5.0,11.7,0,3480.88
Instalação de piso laminado,Pisos,m2,3.0,53.0,1017.21,alta,alta,14,4.01,7.7,1,1246.16
Conserto de telhado,Telhados,unidade,4.0,53.15,2958.81,baixa,alta,8,4.51,16.0,0,3240.12
Conserto de telhado,Telhados,fixo,6.0,59.81,426.17,média,baixa,7,5.0,11.4,1,804.18
Instalação de ar-condicionado,Climatização,unidade,1.0,311.85,172.93,alta,média,19,4.7,3.4,1,540.72
Montagem de móveis,Marcenaria,hora,3.0,240.85,373.66,alta,baixa,16,5.0,6.5,1,1293.21
Conserto de torneira,Hidráulica,unidade,3.0,90.18,135.45,alta,média,15,4.37,13.7,1,409.55
Instalação de ar-condicionado,Climatização,m2,4.0,357.59,597.93,alta,alta,9,4.88,6.3,1,2109.48
Instalação de tomada,Elétrica,hora,4.0,144.16,46.87,baixa,alta,16,3.57,9.0,0,637.9
Instalação de ar-condicionado,Climatização,fixo,4.0,206.88,1091.22,média,média,15,4.31,5.5,1,2447.87
Conserto de torneira,Hidráulica,hora,3.0,91.81,193.54,média,média,5,3.79,6.7,0,545.85
Conserto de telhado,Telhados,fixo,2.0,30.21,2339.6,alta,média,14,3.51,17.4,0,2989.6
Limpeza pós-obra,Limpeza,fixo,3.0,40.94,0.0,alta,baixa,11,4.41,7.8,0,132.52
Jardinagem básica,Jardinagem,unidade,4.0,5.0,22.73,média,média,19,4.35,12.3,0,47.58
Instalação de piso laminado,Pisos,unidade,3.0,74.61,1364.67,média,alta,14,4.77,0.6,1,1853.56
Limpeza pós-obra,Limpeza,m2,4.0,28.27,34.02,média,alta,13,5.0,3.7,1,166.06
Instalação de piso laminado,Pisos,fixo,4.0,86.01,3771.17,alta,alta,7,4.83,5.5,1,4487.97
Instalação de tomada,Elétrica,hora,3.0,126.9,62.98,baixa,média,20,4.75,7.5,1,551.3
Montagem de móveis,Marcenaria,unidade,2.0,98.61,165.25,alta,média,4,4.47,9.0,1,435.7
Instalação de piso laminado,Pisos,hora,3.0,56.78,3150.47,baixa,média,17,4.3,11.3,1,3572.99
Instalação de tomada,Elétrica,fixo,4.0,157.77,245.9,alta,alta,2,4.93,11.1,1,915.61
Limpeza pós-obra,Limpeza,m2,7.0,69.53,22.9,baixa,alta,8,4.28,5.5,1,577.53
Instalação de tomada,Elétrica,m2,5.0,127.61,86.74,alta,média,10,4.38,12.0,0,871.99
Conserto de telhado,Telhados,m2,1.0,57.08,1490.62,baixa,alta,10,4.61,21.7,0,1776.69
Conserto de telhado,Telhados,unidade,2.0,45.13,3609.66,alta,média,13,4.23,18.9,1,4321.45
Instalação de tomada,Elétrica,m2,3.0,137.98,0.33,alta,alta,11,4.8,8.9,0,462.65
Dedetização,Dedetização,hora,4.0,245.59,5.95,baixa,baixa,4,4.71,0.1,0,1127.84
Limpeza pós-obra,Limpeza,fixo,2.0,111.12,56.65,baixa,média,19,4.12,3.9,0,290.99
Instalação de piso laminado,Pisos,unidade,1.0,67.86,2209.51,alta,média,19,4.63,6.4,1,2626.36
Instalação de ar-condicionado,Climatização,unidade,6.0,55.4,699.87,alta,média,19,4.42,10.6,1,1159.4
Montagem de móveis,Marcenaria,unidade,3.0,225.89,233.13,média,média,8,3.83,10.4,0,933.57
Montagem de móveis,Marcenaria,hora,4.0,219.26,171.41,alta,média,2,4.95,10.1,1,1280.52
Conserto de telhado,Telhados,fixo,2.0,65.86,1398.5,média,alta,12,4.59,13.2,0,1819.72
Instalação de piso laminado,Pisos,fixo,3.0,56.36,0.0,alta,alta,14,4.92,4.8,0,179.57
Instalação de tomada,Elétrica,unidade,3.0,173.29,106.3,baixa,média,18,4.55,4.5,1,714.98
Conserto de torneira,Hidráulica,m2,2.0,95.22,208.53,alta,baixa,19,4.25,10.1,0,474.29
Pintura de parede,Pintura,m2,3.0,61.98,99.96,alta,baixa,19,4.41,7.3,0,358.63
Pintura de parede,Pintura,hora,4.0,59.95,83.38,alta,média,20,3.99,6.6,1,380.72
Pintura de parede,Pintura,fixo,5.0,33.52,66.64,baixa,média,5,3.65,5.5,0,282.56
Instalação de piso laminado,Pisos,m2,3.0,84.95,47.81,alta,baixa,4,4.86,6.3,0,304.66
Conserto de torneira,Hidráulica,m2,4.0,97.23,32.17,baixa,média,20,4.62,14.2,0,453.02
Limpeza pós-obra,Limpeza,hora,2.0,47.63,7.94,baixa,média,5,4.11,10.6,0,110.66
Limpeza pós-obra,Limpeza,m2,4.0,19.69,108.76,alta,média,8,4.55,4.7,0,192.07
Conserto de telhado,Telhados,fixo,2.0,17.63,5806.33,baixa,média,8,4.72,9.4,1,6961.81
Jardinagem básica,Jardinagem,m2,2.0,5.0,20.38,média,média,3,4.47,11.3,0,34.39
Montagem de móveis,Marcenaria,m2,5.0,132.34,28.75,baixa,baixa,13,4.37,9.3,0,894.97
Conserto de telhado,Telhados,m2,2.0,61.95,6019.12,alta,média,20,4.11,0.1,0,7183.46
Conserto de torneira,Hidráulica,fixo,2.0,111.36,64.48,baixa,alta,0,4.01,7.7,1,301.86
Jardinagem básica,Jardinagem,m2,2.0,61.88,46.39,alta,média,12,4.67,1.9,0,199.22
Conserto de torneira,Hidráulica,m2,2.0,112.95,61.95,média,média,13,4.01,13.0,0,307.48
Instalação de tomada,Elétrica,m2,5.0,88.6,79.39,alta,baixa,0,4.25,13.2,0,613.49
Dedetização,Dedetização,fixo,5.0,46.71,51.69,baixa,baixa,15,4.56,23.8,0,379.95
Conserto de telhado,Telhados,fixo,3.0,68.82,77.61,baixa,média,9,5.0,18.5,0,349.38
Instalação de piso laminado,Pisos,fixo,3.0,49.18,1899.92,baixa,média,6,4.44,3.4,1,2006.77
Instalação de piso laminado,Pisos,m2,1.0,49.08,0.0,média,alta,11,4.92,4.3,1,60.77
Instalação de piso laminado,Pisos,fixo,5.0,45.41,2126.98,média,baixa,0,4.32,12.4,1,2477.81
Conserto de telhado,Telhados,m2,1.0,48.27,1962.05,média,alta,5,3.91,17.4,0,2311.42
Instalação de piso laminado,Pisos,hora,3.0,41.81,3103.38,alta,baixa,5,4.39,15.7,1,3448.99
Instalação de piso laminado,Pisos,hora,1.0,74.19,3443.65,média,alta,16,3.86,7.1,1,3795.37
Conserto de telhado,Telhados,unidade,4.0,42.78,3102.99,média,baixa,17,3.97,13.5,1,3978.9
Conserto de telhado,Telhados,unidade,1.0,81.99,2926.35,média,média,2,4.5,22.0,0,3310.31
Instalação de tomada,Elétrica,m2,2.0,84.63,176.86,baixa,baixa,10,4.27,14.2,1,411.85
Conserto de telhado,Telhados,unidade,5.0,61.1,1449.01,média,baixa,19,4.38,13.3,1,1752.22
Limpeza pós-obra,Limpeza,m2,3.0,28.34,0.0,alta,baixa,16,4.54,6.3,1,89.05
Instalação de tomada,Elétrica,fixo,1.0,33.27,0.0,baixa,média,19,3.87,3.8,1,36.73
Pintura de parede,Pintura,m2,3.0,61.79,174.65,baixa,média,15,4.61,6.9,1,362.46
Pintura de parede,Pintura,m2,2.0,12.14,92.78,alta,baixa,20,4.12,1.1,0,123.67
Instalação de tomada,Elétrica,fixo,3.0,88.63,252.65,média,alta,4,4.39,14.5,1,541.46
Limpeza pós-obra,Limpeza,m2,3.0,64.98,0.0,alta,média,19,5.0,0.3,0,205.08
Pintura de parede,Pintura,unidade,5.0,39.7,145.34,média,média,16,4.64,9.7,0,410.58
Dedetização,Dedetização,m2,4.0,177.3,22.35,baixa,baixa,8,4.16,16.6,0,805.15
Pintura de parede,Pintura,unidade,6.0,59.64,44.36,baixa,baixa,5,4.4,11.2,0,406.39
Limpeza pós-obra,Limpeza,m2,3.0,66.47,28.1,média,alta,1,5.0,6.1,1,285.17
Dedetização,Dedetização,m2,6.0,67.08,39.11,baixa,alta,13,4.16,0.1,0,481.31
Conserto de telhado,Telhados,m2,2.0,55.58,5150.13,média,média,19,3.23,21.7,1,6710.28
Conserto de telhado,Telhados,hora,4.0,37.2,1465.57,baixa,alta,14,4.72,15.0,0,1783.74
Pintura de parede,Pintura,hora,1.0,101.71,131.13,alta,alta,20,4.07,5.8,1,281.19
Conserto de torneira,Hidráulica,unidade,2.0,92.52,119.21,baixa,média,11,4.9,12.5,1,329.31
Conserto de telhado,Telhados,hora,5.0,64.17,302.7,média,média,12,4.7,13.4,0,682.27
Limpeza pós-obra,Limpeza,fixo,4.0,5.0,0.0,média,média,3,3.77,3.8,0,22.56
Limpeza pós-obra,Limpeza,fixo,3.0,39.41,0.0,média,média,4,4.09,4.2,1,157.88
Dedetização,Dedetização,fixo,3.0,158.69,16.77,baixa,baixa,7,4.31,20.5,1,542.64
Instalação de ar-condicionado,Climatização,fixo,2.0,236.06,1527.29,baixa,baixa,16,4.35,0.1,0,2459.36
Conserto de torneira,Hidráulica,fixo,2.0,69.93,121.58,baixa,média,14,3.58,9.9,0,292.51
Instalação de ar-condicionado,Climatização,hora,2.0,354.84,549.97,baixa,média,5,3.9,11.0,1,1357.08
Pintura de parede,Pintura,m2,3.0,33.89,88.65,média,baixa,7,4.48,7.3,0,190.25
Instalação de piso laminado,Pisos,unidade,1.0,43.62,0.0,alta,média,17,4.4,10.7,0,47.64
Jardinagem básica,Jardinagem,m2,4.0,151.28,0.0,alta,alta,13,4.79,5.0,0,674.56
Instalação de piso laminado,Pisos,fixo,4.0,57.96,987.17,baixa,média,10,5.0,1.1,1,1388.59
Pintura de parede,Pintura,unidade,3.0,5.0,76.35,baixa,média,5,3.93,7.5,0,101.33
Dedetização,Dedetização,hora,2.0,5.0,40.16,alta,baixa,5,3.75,23.9,0,57.77
Instalação de ar-condicionado,Climatização,fixo,4.0,115.68,1219.63,baixa,baixa,13,3.29,11.1,0,1915.67
Jardinagem básica,Jardinagem,hora,2.0,68.42,60.87,alta,baixa,6,4.6,11.8,0,210.19
Conserto de torneira,Hidráulica,hora,2.0,80.14,85.79,baixa,baixa,0,4.52,9.6,0,299.79
Conserto de telhado,Telhados,m2,3.0,57.21,3305.88,baixa,alta,12,4.53,8.3,1,4128.83
Conserto de torneira,Hidráulica,fixo,3.0,87.52,170.52,baixa,média,10,4.32,10.9,1,476.9
Jardinagem básica,Jardinagem,unidade,6.0,107.57,2.85,baixa,média,2,4.26,14.3,0,673.79
Pintura de parede,Pintura,hora,4.0,10.15,120.03,média,média,16,4.34,11.3,1,173.84
Instalação de piso laminado,Pisos,m2,5.0,54.85,0.0,média,média,16,4.61,0.1,0,299.26
Conserto de torneira,Hidráulica,m2,4.0,74.73,75.13,baixa,média,5,3.8,10.4,1,475.8
Pintura de parede,Pintura,unidade,2.0,32.69,155.13,baixa,baixa,15,5.0,9.7,0,268.2
Montagem de móveis,Marcenaria,fixo,1.0,129.57,227.18,alta,baixa,16,4.2,7.5,0,393.21
Limpeza pós-obra,Limpeza,unidade,6.0,25.98,0.0,média,baixa,8,5.0,8.9,1,171.14
Dedetização,Dedetização,unidade,1.0,95.94,91.47,média,baixa,8,4.38,24.6,0,244.48
Conserto de torneira,Hidráulica,m2,1.0,101.52,7.55,média,média,3,4.42,7.5,1,122.17
Montagem de móveis,Marcenaria,unidade,2.0,10.66,20.49,alta,baixa,7,4.51,9.3,1,47.17
Pintura de parede,Pintura,m2,2.0,64.46,146.99,baixa,baixa,5,4.3,8.2,0,292.4
Conserto de telhado,Telhados,fixo,2.0,64.14,33.23,baixa,média,19,4.7,15.2,1,167.86
Conserto de torneira,Hidráulica,unidade,4.0,92.88,106.42,alta,baixa,13,4.29,11.9,0,475.67
Instalação de ar-condicionado,Climatização,fixo,5.0,201.25,0.0,alta,média,13,3.54,0.1,1,1165.55
Pintura de parede,Pintura,hora,4.0,5.0,176.24,média,média,17,3.91,6.2,1,195.1
Instalação de piso laminado,Pisos,fixo,1.0,51.71,0.0,média,média,4,4.48,3.4,1,62.55
Dedetização,Dedetização,unidade,3.0,83.65,41.56,alta,média,15,4.55,1.5,0,326.32
Pintura de parede,Pintura,hora,2.0,46.97,40.65,baixa,média,13,3.98,10.6,1,139.13
Instalação de piso laminado,Pisos,hora,4.0,52.38,1553.72,alta,baixa,7,5.0,16.0,1,2148.78
Montagem de móveis,Marcenaria,hora,3.0,82.4,247.73,alta,baixa,18,4.61,9.1,0,514.79
Instalação de piso laminado,Pisos,unidade,3.0,36.22,1366.07,média,baixa,0,5.0,6.4,1,1752.7
Instalação de ar-condicionado,Climatização,unidade,7.0,132.41,0.0,baixa,média,7,4.23,0.1,1,1054.06
Conserto de torneira,Hidráulica,fixo,5.0,99.81,36.35,alta,baixa,16,4.49,14.6,1,629.08
Instalação de piso laminado,Pisos,unidade,5.0,69.78,0.0,média,alta,3,4.8,10.1,1,387.86
Jardinagem básica,Jardinagem,m2,1.0,23.75,77.2,baixa,média,16,4.92,14.4,1,110.68
Limpeza pós-obra,Limpeza,fixo,4.0,95.96,0.0,baixa,baixa,15,4.71,4.3,0,474.11
Conserto de telhado,Telhados,m2,3.0,75.62,4687.38,baixa,média,17,4.68,6.7,1,5612.68
Jardinagem básica,Jardinagem,fixo,4.0,88.53,28.8,baixa,alta,6,4.56,11.8,1,438.71
Instalação de tomada,Elétrica,m2,3.0,10.65,190.87,alta,alta,14,3.53,5.1,1,231.07
Montagem de móveis,Marcenaria,fixo,4.0,132.7,274.78,alta,média,4,4.5,7.4,0,973.78
Montagem de móveis,Marcenaria,unidade,2.0,247.33,79.93,baixa,média,17,4.24,8.2,0,672.6
Jardinagem básica,Jardinagem,unidade,3.0,82.17,7.71,alta,alta,19,4.7,10.4,1,239.32
Instalação de tomada,Elétrica,hora,2.0,161.46,195.43,média,alta,3,4.69,14.1,1,571.02
Instalação de tomada,Elétrica,fixo,8.0,116.2,30.22,alta,alta,3,4.73,7.9,0,1087.98
Montagem de móveis,Marcenaria,fixo,3.0,141.4,330.14,alta,média,9,4.08,3.8,0,771.91
Pintura de parede,Pintura,hora,1.0,32.64,82.49,alta,baixa,11,4.41,10.6,1,131.48
Dedetização,Dedetização,hora,2.0,130.52,110.98,média,média,6,3.24,5.6,1,419.91
Instalação de ar-condicionado,Climatização,m2,1.0,326.5,1935.62,alta,média,17,4.39,0.1,0,2384.79
Instalação de piso laminado,Pisos,hora,2.0,84.78,2409.96,média,baixa,20,4.16,6.1,1,2636.27
Instalação de ar-condicionado,Climatização,fixo,4.0,630.27,0.0,baixa,média,6,4.38,13.0,1,2951.29
Conserto de torneira,Hidráulica,unidade,5.0,105.78,92.43,baixa,média,3,3.98,11.9,1,676.69
Instalação de ar-condicionado,Climatização,hora,5.0,283.63,822.86,média,média,0,3.61,0.5,0,2495.38
Jardinagem básica,Jardinagem,unidade,2.0,19.41,9.09,baixa,média,19,4.7,9.7,0,59.96
Instalação de piso laminado,Pisos,fixo,3.0,76.72,3375.61,baixa,média,0,5.0,10.7,0,3830.86
Instalação de tomada,Elétrica,hora,2.0,187.56,42.44,alta,alta,3,4.21,4.1,0,524.86
Conserto de telhado,Telhados,unidade,2.0,46.22,5162.23,alta,alta,12,4.34,15.1,1,6418.43
Jardinagem básica,Jardinagem,m2,2.0,79.18,21.94,baixa,alta,8,4.34,10.7,0,212.18
Instalação de piso laminado,Pisos,m2,3.0,94.69,1188.35,alta,média,0,4.76,2.4,1,1444.69
Pintura de parede,Pintura,fixo,1.0,63.31,48.54,alta,alta,8,4.56,5.7,0,126.69
Instalação de ar-condicionado,Climatização,hora,4.0,5.0,373.89,média,alta,18,5.0,5.4,1,475.72
Instalação de tomada,Elétrica,m2,2.0,103.93,211.08,baixa,média,10,4.25,9.6,1,500.06
Dedetização,Dedetização,hora,3.0,75.23,38.39,baixa,média,5,5.0,11.1,1,323.47
Instalação de tomada,Elétrica,hora,2.0,132.98,169.12,média,baixa,6,4.88,9.4,1,434.14
Dedetização,Dedetização,m2,5.0,107.32,0.34,média,alta,0,3.21,12.5,0,580.55
Conserto de torneira,Hidráulica,fixo,2.0,103.4,134.6,média,baixa,8,4.13,14.9,1,377.55
Limpeza pós-obra,Limpeza,fixo,4.0,58.72,73.28,alta,alta,3,3.77,7.9,1,369.06
Instalação de tomada,Elétrica,hora,3.0,175.36,160.14,baixa,baixa,18,4.93,6.0,0,719.7
Instalação de ar-condicionado,Climatização,m2,4.0,182.17,0.0,baixa,alta,1,4.34,7.9,0,734.69
Dedetização,Dedetização,m2,2.0,47.67,20.65,alta,baixa,4,3.9,4.0,0,116.52
Pintura de parede,Pintura,m2,4.0,70.97,77.06,média,média,9,4.66,14.7,1,392.81
Instalação de tomada,Elétrica,unidade,1.0,55.65,178.86,alta,alta,3,4.88,10.6,1,265.94
Instalação de piso laminado,Pisos,hora,2.0,43.43,1205.35,média,baixa,1,4.47,6.5,0,1521.72
Limpeza pós-obra,Limpeza,fixo,2.0,68.64,18.37,média,alta,15,4.55,7.4,0,188.55
Jardinagem básica,Jardinagem,unidade,1.0,58.27,0.0,média,média,11,4.34,17.2,0,57.37
Instalação de ar-condicionado,Climatização,fixo,4.0,272.61,800.11,média,baixa,2,4.33,7.0,1,2223.23
Instalação de ar-condicionado,Climatização,hora,6.0,185.49,1135.61,média,alta,19,4.67,9.0,0,2790.39
Jardinagem básica,Jardinagem,unidade,4.0,75.75,0.0,alta,média,10,4.96,13.5,1,367.32
Montagem de móveis,Marcenaria,unidade,5.0,63.2,206.31,média,baixa,17,4.48,9.1,1,617.09
Instalação de ar-condicionado,Climatização,m2,2.0,333.13,1345.85,média,baixa,1,4.35,2.8,1,2471.71
Dedetização,Dedetização,m2,2.0,114.44,0.0,alta,média,19,3.15,16.7,1,230.16
Instalação de ar-condicionado,Climatização,hora,2.0,553.53,596.88,alta,alta,14,4.54,0.1,1,1783.92
Dedetização,Dedetização,hora,5.0,188.22,0.0,média,média,4,3.93,0.1,1,1029.56
Instalação de tomada,Elétrica,fixo,1.0,162.01,23.31,média,baixa,1,4.73,13.7,1,194.16
Dedetização,Dedetização,hora,2.0,57.88,103.57,baixa,média,18,4.88,16.2,1,300.6
Pintura de parede,Pintura,m2,5.0,5.0,21.18,média,baixa,1,4.97,8.1,1,49.32
Conserto de torneira,Hidráulica,m2,1.0,66.59,95.13,média,baixa,2,4.33,6.5,0,197.3
Instalação de ar-condicionado,Climatização,hora,4.0,140.42,574.86,baixa,média,13,4.9,12.3,0,1310.13
Limpeza pós-obra,Limpeza,unidade,4.0,70.82,62.67,alta,média,10,4.36,9.7,0,377.5
Conserto de torneira,Hidráulica,m2,2.0,84.06,0.0,baixa,média,1,4.87,13.5,0,167.18
Instalação de piso laminado,Pisos,fixo,4.0,58.44,2278.6,média,alta,16,4.38,7.8,0,2742.92
Instalação de tomada,Elétrica,hora,3.0,75.6,86.96,alta,alta,12,4.69,8.4,0,373.48
Conserto de torneira,Hidráulica,fixo,3.0,66.1,54.7,baixa,média,8,4.24,10.4,1,274.52
Instalação de tomada,Elétrica,m2,1.0,108.64,103.55,alta,alta,14,4.73,9.3,0,241.66
